EQUIPMENTID,LANE_BUNDLE_DIRECTION,WEEK_DAY,HOUR,TOTAL_VOLUME
121751,D,Fri,19,949.0769230769231
121751,D,Fri,20,788.7692307692307
121751,D,Fri,21,600.8461538461538
121751,D,Fri,22,395.7692307692308
121751,D,Fri,23,303.0
121751,D,Mon,0,87.53846153846153
121751,D,Mon,1,38.23076923076923
121751,D,Mon,2,18.307692307692307
121751,D,Mon,3,20.923076923076923
121751,D,Mon,4,36.92307692307692
121751,D,Mon,5,123.76923076923077
121751,D,Mon,6,278.46153846153845
121751,D,Mon,7,1280.3846153846155
121751,D,Mon,8,1994.076923076923
121751,D,Mon,9,1250.1538461538462
121751,D,Mon,10,818.5384615384615
121751,D,Mon,11,667.9230769230769
121751,D,Mon,12,672.1538461538462
121751,D,Mon,13,825.6923076923077
121751,D,Mon,14,937.6153846153846
121751,D,Mon,15,779.6923076923077
121751,D,Mon,16,734.0
121751,D,Mon,17,861.4615384615385
121751,D,Mon,18,958.0769230769231
121751,D,Mon,19,746.0
121751,D,Mon,20,534.0
121751,D,Mon,21,404.3076923076923
121751,D,Mon,22,255.6153846153846
121751,D,Mon,23,179.30769230769232
121751,D,Thu,0,121.38461538461539
121751,D,Thu,1,73.0
121751,D,Thu,2,42.69230769230769
121751,D,Thu,3,30.692307692307693
121751,D,Thu,4,42.69230769230769
121751,D,Thu,5,121.84615384615384
121751,D,Thu,6,278.38461538461536
121751,D,Thu,7,1303.5384615384614
121751,D,Thu,8,2036.6153846153845
121751,D,Thu,9,1255.2307692307693
121751,D,Thu,10,843.5384615384615
121751,D,Thu,11,735.3846153846154
121751,D,Thu,12,763.2307692307693
121751,D,Thu,13,902.8461538461538
121751,D,Thu,14,1008.8461538461538
121751,D,Thu,15,866.4615384615385
121751,D,Thu,16,830.0
121751,D,Thu,17,955.6923076923077
121751,D,Thu,18,1042.6923076923076
121751,D,Thu,19,836.6153846153846
121751,D,Thu,20,604.6153846153846
121751,D,Thu,21,462.9230769230769
121751,D,Thu,22,294.2307692307692
121751,D,Thu,23,219.92307692307693
121751,D,Tue,0,88.53846153846153
121751,D,Tue,1,41.53846153846154
121751,D,Tue,2,25.384615384615383
121751,D,Tue,3,24.615384615384617
121751,D,Tue,4,37.92307692307692
121751,D,Tue,5,113.76923076923077
121751,D,Tue,6,260.46153846153845
121751,D,Tue,7,1221.7692307692307
121751,D,Tue,8,1881.1538461538462
121751,D,Tue,9,1178.2307692307693
121751,D,Tue,10,748.0769230769231
121751,D,Tue,11,641.3076923076923
121751,D,Tue,12,676.0769230769231
121751,D,Tue,13,781.7692307692307
121751,D,Tue,14,919.2307692307693
121751,D,Tue,15,794.4615384615385
121751,D,Tue,16,730.9230769230769
121751,D,Tue,17,845.9230769230769
121751,D,Tue,18,961.1538461538462
121751,D,Tue,19,786.6153846153846
121751,D,Tue,20,557.3076923076923
121751,D,Tue,21,402.0769230769231
121751,D,Tue,22,276.2307692307692
121751,D,Tue,23,190.69230769230768
121751,D,Wed,0,93.0
121751,D,Wed,1,39.0
121751,D,Wed,2,19.5
121751,D,Wed,3,16.583333333333332
121751,D,Wed,4,36.166666666666664
121751,D,Wed,5,113.66666666666667
121751,D,Wed,6,261.9166666666667
121751,D,Wed,7,1273.25
121751,D,Wed,8,2026.9166666666667
121751,D,Wed,9,1228.25
121751,D,Wed,10,810.3333333333334
121751,D,Wed,11,674.0833333333334
121751,D,Wed,12,723.5833333333334
121751,D,Wed,13,895.4166666666666
121751,D,Wed,14,1014.9166666666666
121751,D,Wed,15,840.75
121751,D,Wed,16,796.1666666666666
121751,D,Wed,17,945.4166666666666
121751,D,Wed,18,1060.8333333333333
121751,D,Wed,19,871.9166666666666
121751,D,Wed,20,613.9166666666666
121751,D,Wed,21,466.5833333333333
121751,D,Wed,22,286.25
121751,D,Wed,23,231.58333333333334
121752,C,Fri,0,162.46153846153845
121752,C,Fri,1,67.3076923076923
121752,C,Fri,2,35.92307692307692
121752,C,Fri,3,24.615384615384617
121752,C,Fri,4,18.53846153846154
121752,C,Fri,5,24.53846153846154
121752,C,Fri,6,63.23076923076923
121752,C,Fri,7,213.07692307692307
121752,C,Fri,8,620.8461538461538
121752,C,Fri,9,474.6923076923077
121752,C,Fri,10,410.53846153846155
121752,C,Fri,11,458.3076923076923
121752,C,Fri,12,580.3846153846154
121752,C,Fri,13,522.3846153846154
121752,C,Fri,14,566.4615384615385
121752,C,Fri,15,613.5384615384615
121752,C,Fri,16,727.5384615384615
121752,C,Fri,17,1144.3076923076924
121752,C,Fri,18,1435.3076923076924
121752,C,Fri,19,1224.076923076923
121752,C,Fri,20,843.2307692307693
121752,C,Fri,21,478.3076923076923
121752,C,Fri,22,377.0769230769231
121752,C,Fri,23,349.53846153846155
121752,C,Mon,0,144.07692307692307
121752,C,Mon,1,60.92307692307692
121752,C,Mon,2,32.76923076923077
121752,C,Mon,3,18.307692307692307
121752,C,Mon,4,18.53846153846154
121752,C,Mon,5,22.384615384615383
121752,C,Mon,6,67.38461538461539
121752,C,Mon,7,237.84615384615384
121752,C,Mon,8,658.3846153846154
121752,C,Mon,9,546.8461538461538
121752,C,Mon,10,458.15384615384613
121752,C,Mon,11,482.0
121752,C,Mon,12,576.0
121752,C,Mon,13,525.8461538461538
121752,C,Mon,14,536.8461538461538
121752,C,Mon,15,570.3076923076923
121752,C,Mon,16,681.8461538461538
121752,C,Mon,17,1115.6153846153845
121752,C,Mon,18,1452.1538461538462
121752,C,Mon,19,1169.3846153846155
121752,C,Mon,20,691.9230769230769
121752,C,Mon,21,397.38461538461536
121752,C,Mon,22,295.0769230769231
121752,C,Mon,23,246.0
121752,C,Thu,0,160.53846153846155
121752,C,Thu,1,85.6923076923077
121752,C,Thu,2,50.07692307692308
121752,C,Thu,3,37.15384615384615
121752,C,Thu,4,30.846153846153847
121752,C,Thu,5,28.923076923076923
121752,C,Thu,6,56.0
121752,C,Thu,7,197.84615384615384
121752,C,Thu,8,547.9230769230769
121752,C,Thu,9,448.6923076923077
121752,C,Thu,10,420.61538461538464
121752,C,Thu,11,459.6923076923077
121752,C,Thu,12,535.9230769230769
121752,C,Thu,13,483.0769230769231
121752,C,Thu,14,492.15384615384613
121752,C,Thu,15,529.3846153846154
121752,C,Thu,16,642.3076923076923
121752,C,Thu,17,1020.6153846153846
121752,C,Thu,18,1288.6153846153845
121752,C,Thu,19,1033.4615384615386
121752,C,Thu,20,639.5384615384615
121752,C,Thu,21,375.0
121752,C,Thu,22,293.84615384615387
121752,C,Thu,23,239.76923076923077
121752,C,Tue,0,179.76923076923077
121752,C,Tue,1,71.38461538461539
121752,C,Tue,2,38.23076923076923
121752,C,Tue,3,30.384615384615383
121752,C,Tue,4,26.0
121752,C,Tue,5,25.076923076923077
121752,C,Tue,6,68.61538461538461
121752,C,Tue,7,224.23076923076923
121752,C,Tue,8,655.3846153846154
121752,C,Tue,9,499.3076923076923
121752,C,Tue,10,432.6923076923077
